date,location,opponent,score,outcome,fieldGoalsMade,fieldGoalAttempts,3ptMade,3ptAttempted,ftMade,ftAtempted,oRebs,dRebs,totalRebs,personalFouls,assists,turnovers,blocks,steals,points
11/06/19,vs,Hiram,97-58,W,36,83,13,35,12,18,20,32,52,13,19,8,5,13,97
11/11/19,at,Towson,84-80,W,28,66,9,27,19,24,9,29,38,24,11,8,8,7,84
11/16/19,at,"Wright State",72-71,W,25,55,8,22,14,20,10,28,38,19,12,17,3,7,72
11/19/19,vs,"Purdue Fort Wayne",75-68,W,27,64,10,29,11,16,9,27,36,11,17,14,7,9,75
11/21/19,vs,Concord,89-59,W,33,73,11,33,12,16,19,26,45,13,19,11,5,11,89
11/25/19,at,"Ohio State",52-71,L,21,57,6,25,4,7,7,20,27,24,8,13,2,5,52
11/30/19,vs,Stetson,77-53,W,30,63,7,25,10,13,13,24,37,12,17,11,6,6,77
12/03/19,vs,"Detroit Mercy",92-57,W,35,68,8,26,14,16,13,30,43,17,21,12,10,9,92
12/07/19,vs,"Cleveland State",81-59,W,33,63,6,19,9,12,6,24,30,18,14,8,6,11,81
12/16/19,at,"UC Irvine",68-74,L,22,52,11,27,13,15,6,26,32,19,13,19,6,6,68
12/17/19,at,"North Carolina A&T",85-71,W,27,66,10,33,21,32,14,28,42,23,17,10,3,3,85
12/21/19,vs,Hampton,103-64,W,35,61,13,28,20,25,11,31,42,22,17,6,3,6,103
12/30/19,at,"Mississippi State",68-96,L,25,61,6,23,12,16,12,16,28,26,10,14,1,7,68
1/03/20,at,"Bowling Green",79-61,W,30,60,8,17,11,16,6,33,39,17,15,12,1,7,79
1/07/20,vs,Toledo,84-77,W,33,63,9,19,9,10,13,21,34,17,15,13,3,7,84
1/11/20,vs,"Central Michigan",79-73,W,27,59,9,21,16,24,10,32,42,24,15,15,3,6,79
1/14/20,at,"Miami (OH)",74-77,L,26,55,14,30,8,15,7,25,32,26,15,17,3,5,74
1/18/20,at,"Western Michigan",63-67,L,25,55,6,19,7,8,9,22,31,16,13,13,4,6,63
1/21/20,vs,"Northern Illinois",69-76,L,25,61,10,30,9,15,9,19,28,19,12,9,7,5,69
1/24/20,at,Buffalo,70-66,W,27,60,8,22,8,8,12,24,36,16,10,18,7,11,70
1/28/20,at,Toledo,83-70,W,25,55,9,22,24,30,10,23,33,13,9,7,6,10,83
1/31/20,vs,Akron,68-67,W,24,57,8,18,12,15,13,20,33,18,10,14,4,8,68
2/04/20,vs,"Ball State",54-62,L,23,60,1,20,7,15,12,32,44,19,10,11,2,5,54
2/07/20,at,"Northern Illinois",54-57,L,18,49,6,24,12,21,12,27,39,14,12,15,2,4,54
2/15/20,vs,Ohio,87-72,W,26,49,17,31,18,22,5,22,27,15,15,16,3,9,87
2/18/20,at,"Eastern Michigan",49-70,L,16,55,5,31,12,20,15,20,35,23,11,16,2,2,49
2/21/20,vs,Buffalo,98-104,L,38,75,6,22,16,22,13,23,36,22,13,17,4,6,98
2/25/20,vs,"Miami (OH)",74-61,W,31,54,6,20,6,8,7,22,29,15,17,15,3,8,74
2/28/20,at,Ohio,69-76,L,24,58,8,25,13,16,11,26,37,21,13,13,3,3,69
3/03/20,vs,"Bowling Green",83-69,W,33,66,6,24,11,18,12,30,42,21,13,14,6,8,83
3/06/20,at,Akron,76-79,L,28,73,8,22,12,18,14,22,36,23,11,6,1,3,76
3/09/20,vs,"Eastern Michigan",86-76,W,30,56,6,22,20,22,11,30,41,16,21,18,3,5,86
